price (Y),wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,"fuel type (1 gas, 0 diesel)","aspiration (1 std, 0 turbo)","doornumber (1 four, 0 two)","sedan (1 yes, 0 no)","hatchback (1 yes, 0 no)","wagon (1 yes, 0 no)","hardtop (1 yes, 0 no)","4wd (1 yes, 0 no)","fwd (1 yes, 0 no)","enginelocation (1 front, 0 back)","ohc (1 yes, 0 no)","ohcf (1 yes, 0 no)","ohcv (1 yes, 0 no)","dohc (1 yes, 0 no)","four (1 yes, 0 no)","six (1 yes, 0 no)","five (1 yes, 0 no)","eight (1 yes, 0 no)","mpfi (1 yes, 0 no)","2bbl (1 yes, 0 no)","idi (1 yes, 0 no)","1bbl (1 yes, 0 no)","-2 (1 yes, 0 no)","-1 (1 yes, 0 no)","0 (1 yes, 0 no)","1 (1 yes, 0 no)","2 (1 yes, 0 no)",
13495,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
16500,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
16500,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
13950,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
17450,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
15250,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
17710,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
18920,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
23875,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
17859.167,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
